date,open,high,low,close,daily_range
2026-03-06,1.1609,1.1621,1.1544,1.1618,0.0077
2026-03-05,1.1633,1.1647,1.1558,1.1607,0.0089
2026-03-04,1.1611,1.1654,1.1573,1.1633,0.0081
2026-03-03,1.1687,1.1706,1.1528,1.1613,0.0178
2026-03-02,1.1776,1.1795,1.1671,1.1687,0.0124
2026-02-27,1.1796,1.1826,1.1785,1.1813,0.0041
2026-02-26,1.1809,1.1828,1.1773,1.1797,0.0055
2026-02-25,1.1772,1.1814,1.1769,1.1809,0.0045
2026-02-24,1.179,1.1796,1.1765,1.1771,0.0031
2026-02-23,1.1781,1.1834,1.1774,1.1784,0.006
2026-02-20,1.1772,1.1807,1.1742,1.178,0.0065
2026-02-19,1.1782,1.1807,1.1741,1.1772,0.0066
2026-02-18,1.1853,1.1857,1.1781,1.1782,0.0076
2026-02-17,1.185,1.1855,1.1804,1.1853,0.0051
2026-02-16,1.1867,1.1875,1.1845,1.185,0.003
2026-02-13,1.1869,1.1884,1.1845,1.1867,0.0039
2026-02-12,1.1877,1.1889,1.1851,1.1869,0.0038
2026-02-11,1.1893,1.1927,1.1831,1.187,0.0096
2026-02-10,1.1912,1.1928,1.1886,1.1894,0.0042
2026-02-09,1.1816,1.1926,1.1807,1.1913,0.0119
2026-02-06,1.1777,1.1826,1.1764,1.1816,0.0062
2026-02-05,1.1806,1.1821,1.1773,1.1775,0.0048
2026-02-04,1.1818,1.1838,1.1789,1.1806,0.0049
2026-02-03,1.1789,1.1828,1.1779,1.1818,0.0049
2026-02-02,1.1852,1.1874,1.1775,1.1789,0.0099
2026-01-30,1.197,1.1974,1.1848,1.1848,0.0126
2026-01-29,1.1952,1.1996,1.1905,1.1969,0.0091
2026-01-28,1.2039,1.2044,1.1895,1.1952,0.0149
2026-01-27,1.1875,1.2078,1.1849,1.2041,0.0229
2026-01-26,1.1831,1.1906,1.1831,1.1879,0.0075
2026-01-23,1.1752,1.1833,1.1727,1.1826,0.0106
2026-01-22,1.1682,1.1756,1.1668,1.1754,0.0088
2026-01-21,1.1721,1.1742,1.1676,1.1682,0.0066
2026-01-20,1.1642,1.1768,1.1631,1.1724,0.0137
2026-01-19,1.1583,1.1648,1.157,1.1645,0.0078
2026-01-16,1.1607,1.1627,1.1583,1.1597,0.0044
2026-01-15,1.1641,1.1647,1.1592,1.1606,0.0055
2026-01-14,1.1645,1.1661,1.1634,1.1642,0.0027
2026-01-13,1.1668,1.1677,1.1633,1.1641,0.0044
2026-01-12,1.1629,1.1698,1.162,1.1667,0.0078
2026-01-09,1.1658,1.1662,1.1617,1.1637,0.0045
2026-01-08,1.1673,1.1682,1.1642,1.1658,0.004
2026-01-07,1.1686,1.1702,1.1671,1.1673,0.0031
2026-01-06,1.1721,1.1742,1.1683,1.1687,0.0059
2026-01-05,1.172,1.1728,1.1658,1.172,0.007
